,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
1415,HR6604,To amend the Commodity Exchange Act to bring greater transparency and accountability to commodity markets and for other purposes.,Commodity Markets Transparency and Accountability Act of 2008,D,2008-07-24,,,9,0,9,0,Agriculture and food,"Commodity Markets Transparency and Accountability Act of 2008 - (Sec. 3) Amends the Commodity Exchange Act to define ""energy commodity"" as (1) coal; (2) crude oil gasoline diesel fuel jet fuel heating oil and propane; (3) electricity; (4) natural gas; and (5) any other substance that is used as an energy source as determined by the Commodity Futures Trading Commission (CFTC). (Sec. 4) Prohibits CFTC from permitting a foreign board of trade (FBOT) providing its U.S-located members with ac...",19,3
1416,HR6445,To amend title 38 United States Code to prohibit the Secretary of Veterans Affairs from collecting certain copayments from veterans who are catastrophically disabled and for other purposes.,Veterans' Health Care Policy Enhancement Act of 2008,D,2008-07-09,,,9,1,8,0,Armed forces and national security,Veterans' Health Care Policy Enhancement Act of 2008 - (Sec. 2) Prohibits the collection by the Department of Veterans Affairs (VA) of copayments or other fees for hospital or nursing home care in the case of catastrophically disabled veterans. (Sec. 3) Repeals a current requirement that in order for a family member of a non-service-connected disabled veteran to be eligible for counseling services the counseling must be essential to permit the discharge of the veteran from the hospital. (Se...,17,1
1417,HR1108,To protect the public health by providing the Food and Drug Administration with certain authority to regulate tobacco products.,Family Smoking Prevention and Tobacco Control Act,D,2007-02-15,,,234,42,192,0,Health,Family Smoking Prevention and Tobacco Control Act - Title I: Authority of the Food and Drug Administration - (Sec. 101) Amends the Federal Food Drug and Cosmetic Act (FFDCA) to provide for the regulation of tobacco products by the Secretary of Health and Human Services through the Food and Drug Administration (FDA).Defines a tobacco product as any product made or derived from tobacco that is intended for human consumption. Prohibits a tobacco product from being marketed in combination with ...,19,1
1418,HRES1396,Raising a question of the privileges of the House.,,R,2008-07-31,,,0,0,0,0,Congress,Declares that: (1) the Member from NewYork Mr. Rangel by the conduct giving rise to this resolution has dishonored himself and brought discredit to the House and merits its censure; and (2) such Member is censured.,5,1
1419,HRES1388,Providing for consideration of the bill (H.R. 1338) to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex and for other purposes.,,D,2008-07-30,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 1338) to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex.,10,2
1420,HRES1384,Providing for consideration of the bill (H.R. 6599) making appropriations for military construction the Department of Veterans Affairs and related agencies for the fiscal year ending September 30 2009 and for other purposes.,,D,2008-07-29,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 6599) making appropriations for military construction the Department of Veterans Affairs and related agencies for the fiscal year ending September 30 2009.,11,2
1421,HR1338,To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex and for other purposes.,Paycheck Fairness Act,D,2007-03-06,,,230,1,229,0,Labor and employment,Paycheck Fairness Act - (Sec. 3) Amends the portion of the Fair Labor Standards Act of 1938 (FLSA) known as the Equal Pay Act to revise remedies for enforcement of and exceptions to prohibitions against sex discrimination in the payment of wages. Revises the exception to the prohibition for a wage rate differential based on any other factor other than sex. Limits such factors to bona fide factors such as education training or experience. States that the bona fide factor defense shall app...,41,6
1422,HR6633,To evaluate and extend the basic pilot program for employment eligibility confirmation and to ensure the protection of Social Security beneficiaries.,Employee Verification Amendment Act of 2008,D,2008-07-29,,,16,6,10,0,Immigration,Employee Verification Amendment Act of 2008 - Amends the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to extend the employment eligibility confirmation pilot programs (which includes the E-Verify basic pilot program). Directs the Commissioner of Social Security and the Secretary of Homeland Security to enter into a fiscal year agreement which shall: (1) provide funds to the Commissioner for such programs' full costs in quarterly advances; and (2) require an annual accou...,12,1
1423,HR6599,Making appropriations for military construction the Department of Veterans Affairs and related agencies for the fiscal year ending September 30 2009 and for other purposes.,Military Construction and Veterans Affairs Appropriations Act 2009,D,2008-07-24,,,0,0,0,0,Armed forces and national security,Military Construction and Veterans Affairs Appropriations Act 2009 - Title I: Department of Defense - Appropriates funds for FY2009 for the Department of Defense (DOD) for: (1) military construction for the Army Navy and Marine Corps and Air Force (military departments) DOD the Army and Air National Guard and the Army Navy and Air Force reserves; (2) the North Atlantic Treaty Organization (NATO) Security Investment Program; (3) family housing construction and related operation and mai...,56,6
1424,HRES1008,Condemning the persecution of Baha'is in Iran.,,R,2008-02-28,,,56,25,31,0,International affairs,Condemns the government of Iran for its: (1) state-sponsored persecution of Baha'is and continues to hold the government of Iran responsible for upholding all the rights of its nationals including members of the Baha'i community; and (2) continued imprisonment of individuals without due process and fair trial. Calls on: (1) the government of Iran to immediately release 10 Baha'is: Ms. Raha Sabet Mr. Sasan Taqva Ms. Haleh Roohi Mrs. Fariba Kamalabadi Mr. Jamaloddin Khanjani Mr. Afif Naei...,9,1
1425,HRES1316,Honoring the service of the Navy and Coast Guard veterans who served on the Landing Ship Tank (LST) amphibious landing craft during World War II the Korean war the Vietnam war Operation Desert Storm and global operations through 2002 and recognizing the essential role played by LST amphibious craft during these conflicts.,,D,2008-06-26,,,53,12,41,0,Commemorations,Recognizes the essential role played by Landing Ship Tanks (LSTs) during World War II the Korean war the Vietnam war Operation Desert Shield Operation Desert Storm and many other military and humanitarian operations. Honors the service of the Navy and Coast Guard sailors who served their country aboard the LSTs. Acknowledges the debt modern amphibious operations owe to the LST sailors and ships. Commends the many volunteers of the USS LST Ship Memorial who have preserved the LST 325 as a...,9,1
1426,S2403,"An act to designate the United States courthouse located in the 700 block of East Broad Street Richmond Virginia as the ""Spottswood W. Robinson III and Robert R. Merhige Jr. United States Courthouse"".",,R,2007-12-03,,,1,0,1,0,Commemorations,"Designates the new federal courthouse located in the 700 block of East Broad Street Richmond Virginia as the ""Spottswood W. Robinson III and Robert R. Merhige Jr. Federal Courthouse.""",30,1
1427,S2837,"A bill to designate the United States courthouse located at 225 Cadman Plaza East Brooklyn New York as the ""Theodore Roosevelt United States Courthouse"".",,D,2008-04-09,,,0,0,0,0,Commemorations,"Designates the U.S. courthouse located at 225 Cadman Plaza East Brooklyn New York as the ""Theodore Roosevelt United States Courthouse.""",25,1
1428,S2135,A bill to prohibit the recruitment or use of child soldiers to designate persons who recruit or use child soldiers as inadmissible aliens to allow the deportation of persons who recruit or use child soldiers and for other purposes.,Child Soldiers Accountability Act of 2008,D,2007-10-03,,,9,2,7,0,Crime and law enforcement,Child Soldiers Accountability Act of 2008- Amends the federal criminal code to impose a fine and/or 20-year prison term for knowingly recruiting enlisting or conscripting a person under 15 years of age into an armed force or group (other than a group assembled solely for nonviolent political association) or using such person to participate actively in combat hostilities or attempting or conspiring to do so knowing such person is under 15 years of age. Imposes a life sentence if the death ...,28,1
1429,HCONRES344,Recognizing the disproportionate impact of the global food crisis on children in the developing world.,,D,2008-05-07,,,49,0,49,0,International affairs,Expresses the sense of Congress that: (1) in emergency situations children have different needs than those of adults and nutritional deficiencies disproportionately affect children; (2) in the current global food crisis children's nutritional needs must be a humanitarian priority; and (3) the United States and the other G8 member states should continue to monitor the global food crisis' impact on children and commit to increasing their assistance to children's needs.,10,1
1430,HRES937,Expressing the sense of the House of Representatives that the emergency communications services provided by the American Red Cross are vital resources for military service members and their families.,,R,2008-01-23,,,46,30,16,0,International affairs,Expresses appreciation for the vital emergency communications services provided by the American Red Cross between military service members and their families during emergencies or other important events.,8,1
1431,HRES1069,Condemning the broadcasting of incitement to violence against Americans and the United States in media based in the Middle East calling for the designation of al-Aqsa TV as a Specially Designated Global Terrorist entity and for other purposes.,,D,2008-04-01,,,44,22,22,0,International affairs,Condemns: (1) the broadcast of incitement to violence and hatred against Americans Israelis and the West by Middle East-based media; and (2) Hamas' use of children's television programming to incite hatred violence and anti-Semitism. Calls on: (1) Saudi Arabia and on all other Arab states that own shares in Arabsat to cease the transmission of telecasts by al-Aqsa TV and al-Manar TV; (2) Egypt to cease the transmission of telecasts by al-Rafidayn TV and al-Manar TV; and (3) the owners of ...,9,1
1432,HRES1307,Commemorating the Kingdom of Bhutan's participation in the 2008 Smithsonian Folklife Festival and commending the people and the Government of the Kingdom of Bhutan for their commitment to holding elections and broadening political participation.,,D,2008-06-26,,,42,16,26,0,International affairs,Commemorates Bhutan's participation in the 2008 Smithsonian Folklife Festival. Recognizes the cultural artistic agricultural and environmental achievements of Bhutan and the Bhutanese people. Commends the Bhutanese people the government of the Kingdom of Bhutan and His Majesty King Jigme Khesar Namgyel Wangchuck for their commitment to conducting parliamentary elections and transitioning from a monarchy to a parliamentary democracy. States that the House of Representatives remains commit...,8,1
1433,HR6168,"To designate the facility of the United States Postal Service located at 112 South 5th Street in Saint Charles Missouri as the ""Lance Corporal Drew W. Weaver Post Office Building"".",,R,2008-06-03,,,8,4,4,0,Commemorations,"Designates the facility of the United States Postal Service located at 112 South 5th Street in Saint Charles Missouri as the ""Lance Corporal Drew W. Weaver Post Office Building.""",11,1
1434,HR6630,To prohibit the Secretary of Transportation from granting authority to a motor carrier domiciled in Mexico to operate beyond United States municipalities and commercial zones on the United States-Mexico border unless expressly authorized by Congress.,,D,2008-07-29,,,41,16,25,0,Transportation and public works,Directs the Secretary of Transportation to terminate by September 6 2008 the one-year cross-border pilot project started on September 6 2007 as part of the Federal Motor Carrier Safety Administration's implementation of the North American Free Trade Agreement (NAFTA) cross-border motor carrier provisions to demonstrate the ability of Mexico-domiciled motor carriers to operate safely in the United States beyond the commercial zones along the U.S.-Mexico border. Prohibits the Secretary u...,15,1
1435,HRES1419,Providing for consideration of the bill (H.R. 3667) to amend the Wild and Scenic Rivers Act to designate a segment of the Missisquoi and Trout Rivers in the State of Vermont for study for potential addition to the National Wild and Scenic Rivers System.,,D,2008-09-09,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 3667) to amend the Wild and Scenic Rivers Act to designate a segment of the Missisquoi and Trout Rivers in the State of Vermont for study for potential addition to the National Wild and Scenic Rivers System.,10,2
1436,HR1527,A bill to amend title 38 United States Code to direct the Secretary of Veterans Affairs to conduct a pilot program to permit certain highly rural veterans enrolled in the health system of the Department of Veterans Affairs to receive covered health services through providers other than those of the Department.,Rural Veterans Access to Care Act,R,2007-03-14,,,30,20,10,0,Armed forces and national security,"Rural Veterans Access to Care Act - Directs the Secretary of Veterans Affairs to conduct a three-year pilot program under which a highly rural veteran who is enrolled in the system of patient enrollment of the Department of Veterans Affairs (VA) and who resides within a designated area of the Veterans Integrated Service Network may elect to receive covered health services through a non-VA health care provider. Defines a ""highly rural veteran"" as one who: (1) resides more than 60 miles from th...",18,1
1437,S2617,A bill to amend title 38 United States Code to codify increases in the rates of compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for the survivors of certain disabled veterans that were effective as of December 1 2007 to provide for an increase in the rates of such compensation effective December 1 2008 and for other purposes.,Veterans' Compensation Cost-of-Living Adjustment Act of 2008,D,2008-02-08,,,11,3,7,0,Armed forces and national security,Veterans' Compensation Cost-of-Living Adjustment Act of 2008 - Directs the Secretary of Veterans Affairs to increase as of December 1 2008 the rates of veterans' disability compensation additional compensation for dependents the clothing allowance for certain disabled adult children and dependency and indemnity compensation for surviving spouses and children. Requires each such increase to be the same percentage as the increase in benefits provided under title II (Old Age Survivors and...,20,1
1438,HR3667,To amend the Wild and Scenic Rivers Act to designate a segment of the Missisquoi and Trout Rivers in the State of Vermont for study for potential addition to the National Wild and Scenic Rivers System.,Missisquoi and Trout Rivers Wild and Scenic River Study Act of 2008,D,2007-09-25,,,0,0,0,0,Public lands and natural resources,Missisquoi and Trout Rivers Wild and Scenic River Study Act of 2008 - Amends the Wild and Scenic Rivers Act to designate a specified segment of the Missisquoi and Trout Rivers in Vermont for study for potential addition to the National Wild and Scenic Rivers System. Directs the Secretary of the Interior to: (1) analyze any potential impacts on the possession or use of a weapon trap or net including a concealed weapon on the Missisquoi and Trout Rivers or on lands adjacent to that area; (2...,44,4
1439,HR4081,To prevent tobacco smuggling to ensure the collection of all tobacco taxes and for other purposes.,PACT Act,D,2007-11-05,,,3,2,1,0,Crime and law enforcement,"Prevent All Cigarette Trafficking Act of 2008 or the PACT Act - Amends the Jenkins Act to revise provisions governing the collection of taxes on and trafficking in cigarettes and smokeless tobacco. (Sec. 2) Revises the definition of ""cigarette"" to include roll-your-own tobacco and to exclude cigars. Defines ""delivery sale"" to mean any sale of cigarettes or smokeless tobacco to a consumer ordered by telephone the mails or the Internet or other online service . Redefines ""person"" to include...",17,1
1440,HRES1420,Expressing the sense of the House of Representatives regarding the terrorist attacks launched against the United States on September 11 2001.,,D,2008-09-09,,,1,1,0,0,Government operations and politics,Recognizes September 11 as a day of solemn commemoration. Extends deepest condolences to friends families and loved ones of the innocent victims of the September 11 2001 terrorist attacks. Honors the heroic service actions and sacrifices of first responders law enforcement personnel state and local officials volunteers and others who aided the victims and in doing so risked and often sacrificed their own lives. Expresses gratitude to foreign leaders and citizens who have assisted a...,15,1
1441,HRES1200,Honoring the dedication and outstanding work of military support groups across the country for their steadfast support of the members of our Armed Forces and their families.,,D,2008-05-14,,,67,9,58,0,Commemorations,Honors military support groups for their support of members of the Armed Forces and their families.,9,1
1442,HCONRES390,Honoring the 28th Infantry Division for serving and protecting the United States.,,D,2008-07-17,,,108,31,77,0,Armed forces and national security,Honors the 28th Infantry Division of the U.S. Army for serving and protecting the United States.,10,1
1443,HR6889,To extend the authority of the Secretary of Education to purchase guaranteed student loans for an additional year and for other purposes.,,D,2008-09-15,,,3,2,1,0,Education,Amends the Higher Education Act of 1965 to extend by one year from July 2009 to July 2010 the Secretary of Education's authority to purchase or enter into forward commitments to purchase Federal Family Education Loans (FFELs) from lenders upon the determination that there is an inadequate availability of loan capital to meet the demand for such loans. Extends by one year from June 30 2009 to June 30 2010 the authority of institutions of higher education (IHEs) with the Secretary's ap...,15,1
1444,HRES1433,Providing for consideration of the bill (H.R. 6899) to advance the national security interests of the United States by reducing its dependency on oil through renewable and clean alternative fuel technologies while building a bridge to the future through expanded access to Federal oil and natural gas resources revising the relationship between the oil and gas industry and the consumers who own those resources and deserve a fair return from the development of publicly owned oil and gas ending tax subsidies for large oil and gas companies and facilitating energy efficiencies in the building housing and transportation sectors and for other purposes.,,D,2008-09-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 6899) to advance the national security interests of the United States by reducing its dependency on oil through renewable and clean alternative fuel technologies while building a bridge to the future through expanded access to Federal oil and natural gas resources revising the relationship between the oil and gas industry and the consumers who own those resources and deserve a fair return from the development of publicly owned oil and ...,13,3
1445,HRES1434,Providing for consideration of the bill (H.R. 6842) to require the District of Columbia to revise its laws regarding the use and possession of firearms as necessary to comply with the requirements of the decision of the Supreme Court in the case of District of Columbia v. Heller in a manner that protects the security interests of the Federal government and the people who work in reside in or visit the District of Columbia and does not undermine the efforts of law enforcement homeland security and military officials to protect the Nation's capital from crime and terrorism.,,D,2008-09-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 6842 (National Capital Security and Safety Act).,10,1
1446,HR6899,To advance the national security interests of the United States by reducing its dependency on oil through renewable and clean alternative fuel technologies while building a bridge to the future through expanded access to Federal oil and natural gas resources revising the relationship between the oil and gas industry and the consumers who own those resources and deserve a fair return from the development of publicly owned oil and gas ending tax subsidies for large oil and gas companies and facilitating energy efficiencies in the building housing and transportation sectors and for other purposes.,Comprehensive American Energy Security and Consumer Protection Act,D,2008-09-15,,,3,0,3,0,Energy,Comprehensive American Energy Security and Consumer Protection Act - Title I: Federal Oil and Gas Leasing - Subtitle A: Outer Continental Shelf Oil and Gas Leasing - (Sec. 101) Prohibits oil and gas preleasing or leasing of any area of the Outer Continental Shelf (OCS) that was not available for oil and gas leasing as of July 1 2008 unless that action is expressly authorized by this Act or a statute enacted by Congress after enactment of this Act. (Sec. 102) Authorizes oil and gas leasing ...,27,2
1447,HR6842,To restore Second Amendment rights in the District of Columbia.,Second Amendment Enforcement Act,D,2008-09-09,,,1,0,1,0,Crime and law enforcement,Second Amendment Enforcement Act - (Sec. 3) Amends specified law prohibiting the killing of wild birds and wild animals in the District of Columbia to declare that nothing in it or any other provision of law shall authorize or be construed to permit the Council the Mayor or any governmental or regulatory authority of the District to prohibit constructively prohibit or unduly burden the ability of persons otherwise not prohibited from possessing firearms under federal law from acquiring p...,26,2
1448,HRES1335,Celebrating the 120-year partnership between the Government and State veterans homes.,,D,2008-07-10,,,47,15,32,0,Commemorations,Commends the extraordinary contributions of those who have served in the U.S. Armed Forces. Recognizes: (1) that the United States has an affirmative duty to care for the men and women who have so served; and (2) the efforts of the National Association of State Veterans Homes in providing veterans with high-quality care. Commends efforts made by state veterans homes for the past 120 years in ensuring that veterans receive the highest quality of care worthy of their sacrifices.,8,1
1449,S2339,"A bill to designate the Department of Veterans Affairs clinic in Alpena Michigan as the ""Lieutenant Colonel Clement C. Van Wagoner Department of Veterans Affairs Clinic"".",,D,2007-11-13,,,1,0,1,0,Commemorations,"Designates the Department of Veterans Affairs clinic in Alpena Michigan as the ""Lieutenant Colonel Clement C. Van Wagoner Department of Veterans Affairs Clinic.""",17,1
1450,HR1594,To designate the Department of Veterans Affairs Outpatient Clinic in Hermitage Pennsylvania as the Michael A. Marzano Department of Veterans Affairs Outpatient Clinic.,,R,2007-03-20,,,23,10,13,0,Commemorations,"Designates the Department of Veterans Affairs Outpatient Clinic in Hermitage Pennsylvania as the ""Michael A. Marzano Department of Veterans Affairs Outpatient Clinic.""",16,1
1451,HRES1449,Providing for consideration of the bill (H.R. 6604) to amend the Commodity Exchange Act to bring greater transparency and accountability to commodity markets and for other purposes.,,D,2008-09-17,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 6604) to amend the Commodity Exchange Act to bring greater transparency and accountability to commodity markets.,8,2
1452,HRES1460,Raising a question of the privileges of the House.,,R,2008-09-18,,,0,0,0,0,,Requires the Committee on Standards of Official Conduct to establish an Investigative Subcommittee in the matter of Representative Charles B. Rangel or report to the House the reasons for its failure to do so. Removes Representative Rangel as chairman of the Committee on Ways and Means upon adoption of this resolution and pending completion of such investigation.,3,1
1453,HRES1441,Providing for consideration of the bill (H.R. 3036) to amend the Elementary and Secondary Education Act of 1965 regarding environmental education and for other purposes.,,D,2008-09-16,,,0,0,0,0,,Sets forth the rule for consideration of the bill (H.R. 3036) to amend the Elementary and Secondary Education Act of 1965 regarding environmental education.,9,2
1454,HR3036,To reauthorize and enhance the National Environmental Education Act and for other purposes.,No Child Left Inside Act of 2008,D,2007-07-12,,,64,2,62,0,Education,No Child Left Inside Act of 2008 - Amends the National Environmental Education Act (the Act) to add to the minimum functions and activities required of grantees under the Environmental Education and Training program which trains educational professionals in the development and delivery of environmental education and training. Requires such grantees to: (1) create opportunities for enhanced and ongoing professional development in addition to classroom training; (2) ensure that their environm...,29,3
1455,HR6460,To amend the Federal Water Pollution Control Act to provide for the remediation of sediment contamination in areas of concern and for other purposes.,Great Lakes Legacy Reauthorization Act of 2008,R,2008-07-10,,,46,23,23,0,Environmental protection,"Great Lakes Legacy Reauthorization Act of 2008 - Amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to define: (1) ""site characterization"" as a process for monitoring and evaluating sediment contamination under the Environmental Protection Agency's (EPA) guidance for the assessment of contaminated sediment in an area of concern in the United States; and (2) ""potentially responsible party"" to mean an individual or entity that may be liable under any federal ...",31,2
1456,HR6685,To authorize the Secretary of the Interior to provide an annual grant to facilitate an iron working training program for Native Americans.,,D,2008-07-31,,,0,0,0,0,Native Americans,Directs the Secretary of the Interior acting through the Bureau of Indian Affairs to make a grant each year to an eligible entity to provide an iron working training program that: (1) provides specialized classroom and on-the-job training in iron working skills to adult members of federally recognized Indian tribes; and (2) facilitates job placement upon program completion.,10,1
1457,HR1907,To authorize the acquisition of land and interests in land from willing sellers to improve the conservation of and to enhance the ecological values and functions of coastal and estuarine areas to benefit both the environment and the economies of coastal communities and for other purposes.,Coastal and Estuarine Land Conservation Program Act,R,2007-04-18,,,26,7,19,0,Public lands and natural resources,Coastal and Estuarine Land Conservation Program Act - Amends the Coastal Zone Management Act of 1972 to authorize the Secretary of Commerce to conduct a Coastal and Estuarine Land Conservation Program to protect important coastal and estuarine areas that have significant conservation recreation ecological historical or aesthetic values and that are threatened by conversion from their natural undeveloped or recreational state to other uses or that could be managed or restored to effectiv...,18,1
1458,HR6853,A bill to establish in the Federal Bureau of Investigation the Nationwide Mortgage Fraud Coordinator to address mortgage fraud in the United States and for other purposes.,Nationwide Mortgage Fraud Coordinator Act of 2008,D,2008-09-09,,,10,5,5,0,Crime and law enforcement,Nationwide Mortgage Fraud Coordinator Act of 2008 - Requires the Director of the Federal Bureau of Investigation (FBI) to assign the Chief of its Financial Crimes Section Criminal Investigative Division to be the Nationwide Mortgage Fraud Coordinator who shall oversee all FBI activities related to investigation of mortgage fraud. Directs the Coordinator to: (1) establish regional task forces consisting of the voluntary participation of federal state and local law enforcement and prosecu...,10,1
1459,HRES1476,Providing for consideration of the bill (H.R. 5244) to amend the Truth in Lending Act to establish fair and transparent practices relating to the extension of credit under an open end consumer credit plan and for other purposes.,,D,2008-09-22,,,0,0,0,0,,Sets forth the rule for consideration of the bill (H.R. 5244) to amend the Truth in Lending Act to establish fair and transparent practices relating to the extension of credit under an open end consumer credit plan.,8,2
1460,SJRES45,A joint resolution expressing the consent and approval of Congress to an interstate compact regarding water resources in the Great Lakes - St. Lawrence River Basin.,Great Lakes--St. Lawrence River Basin Water Resources Compact,D,2008-07-23,,,15,4,11,0,Water resources development,Grants congressional consent to and approval of the Great Lakes - St. Lawrence River Basin Water Resources Compact as set forth in this resolution's preamble. Declares that current laws provide protection sufficient to prevent Great Lakes diversions until a Great Lakes water compact is ratified and enforceable.Reserves the right to alter amend or repeal this resolution.,20,1
1461,HR5244,To amend the Truth in Lending Act to establish fair and transparent practices relating to the extension of credit under an open end consumer credit plan and for other purposes.,Credit Cardholders' Bill of Rights Act of 2008,D,2008-02-07,,,155,2,153,0,Finance and financial sector,Credit Cardholders' Bill of Rights Act of 2008 - (Sec. 2) Amends the Truth in Lending Act to prohibit a creditor from increasing any annual percentage rate of interest (APR) applicable to the existing balance on an open end consumer credit card account unless specified conditions are met. Prescribes the treatment of existing balances following a rate increase.Allows a creditor to increase an APR on the existing credit card balance only if the increase is due solely to: (1) the operation of an...,22,2
1462,HR6897,To authorize the Secretary of Veterans Affairs to make certain payments to eligible persons who served in the Philippines during World War II.,Filipino Veterans Equity Act of 2008,D,2008-09-15,,,1,1,0,0,Armed forces and national security,Filipino Veterans Equity Act of 2008 - Establishes in the Treasury the Filipino Veterans Equity Compensation Fund whose amounts shall be available to the Secretary of Veterans Affairs without fiscal year limitation to make payments to specified eligible persons who served: (1) before July 1 1946 in the organized military forces of the government of the Commonwealth of the Philippines while in the service of the Armed Forces of the United States; or (2) in the Philippine Scouts. Sets the p...,9,1
1463,HR6983,To amend section 712 of the Employee Retirement Income Security Act of 1974 section 2705 of the Public Health Service Act and section 9812 of the Internal Revenue Code of 1986 to require equity in the provision of mental health and substance-related disorder benefits under group health plans and for other purposes.,Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008,D,2008-09-22,,,7,1,6,0,Health,Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008 - (Sec. 2) Amends the Employee Retirement Income Security Act of 1974 (ERISA) the Public Health Service Act and the Internal Revenue Code to require a group health plan that provides both medical and surgical benefits and mental health or substance use disorder benefits to ensure that: (1) the financial requirements such as deductibles and copayments applicable to such mental health or substance use dis...,12,1
1464,HR5352,A bill to protect seniors in the United States from elder abuse by establishing specialized elder abuse prosecution and research programs and activities to aid victims of elder abuse to provide training to prosecutors and other law enforcement related to elder abuse prevention and protection to establish programs that provide for emergency crisis response teams to combat elder abuse and for other purposes.,Elder Abuse Victims Act of 2008,D,2008-02-12,,,4,1,3,0,Crime and law enforcement,Elder Abuse Victims Act of 2008 - Title I: Elder Abuse Victims - (Sec. 101) Directs the Attorney General to: (1) study and report to Congress on state laws and practices relating to elder abuse neglect and exploitation; and (2) develop objectives priorities policies and a long-term plan for elder justice programs and activities. Directs the Comptroller General to report to Congress any recommendations with respect to any federal legislation regulations or programs determined necessary ...,25,1
1465,HR642,To establish the Honorable Stephanie Tubbs Jones Fire Suppression Demonstration Incentive Program within the Department of Education to promote installation of fire sprinkler systems or other fire suppression or prevention technologies in qualified student housing and dormitories and for other purposes.,Honorable Stephanie Tubbs Jones College Fire Prevention Act,D,2007-01-23,,,102,12,90,0,Education,Honorable Stephanie Tubbs Jones College Fire Prevention Act - Directs the Secretary of Education to make competitive demonstration grants to institutions of higher education (IHEs) fraternities and sororities for up to half the cost of installing fire sprinkler systems or other fire suppression or prevention technologies in student housing and dormitories owned or controlled by such entities. Gives grant priority to applicants that demonstrate the greatest financial need. Reserves the fol...,14,1
1466,HRES1488,Providing for consideration of the Senate amendment to the bill (H.R. 2638) making appropriations for the Department of Homeland Security for the fiscal year ending September 30 2008 and for other purposes.,,D,2008-09-23,,,0,0,0,0,,Sets forth the rule for consideration of the Senate amendment to H.R. 2638 (Consolidated Security Disaster Assistance and Continuing Appropriations Act 2009). Agrees to the Senate amendment with an amendment printed in the accompanying report of the Committee on Rules. Requires the chairman of the Committee on Appropriations to insert in the daily issue of the Congressional Record dated September 24 2008 such material as he may deem explanatory of the motion to agree.,12,3
1467,S3001,An original bill to authorize appropriations for fiscal year 2009 for military activities of the Department of Defense for military construction and for defense activities of the Department of Energy to prescribe military personnel strengths for such fiscal year and for other purposes.,Duncan Hunter National Defense Authorization Act for Fiscal Year 2009,D,2008-05-12,,,0,0,0,0,Armed forces and national security,Duncan Hunter National Defense Authorization Act for Fiscal Year 2009 - Expresses the sense of Congress that the Honorable Duncan Hunter Representative from California has discharged his official duties with integrity and distinction has served the House of Representatives and the American people selflessly and deserves the sincere gratitude of Congress and the Nation. Division A: Department of Defense Authorizations - Title I: Procurement - Subtitle A: Authorization of Appropriations - (...,59,7
1468,HR5265,To amend the Public Health Service Act to provide for research with respect to various forms of muscular dystrophy including Becker congenital distal Duchenne Emery-Dreifuss facioscapulohumeral limb-girdle myotonic and oculopharyngeal muscular dystrophies.,Paul D. Wellstone Muscular Dystrophy Community Assistance Research and Education Amendments of 2008,D,2008-02-07,,,123,37,86,0,Health,Paul D. Wellstone Muscular Dystrophy Community Assistance Research and Education Amendments of 2008 - Amends the Public Health Service Act to designate centers of excellence for research on various forms of muscular dystrophy as Paul D. Wellstone Muscular Dystrophy Cooperative Research Centers.Authorizes the Muscular Dystrophy Interagency Coordinating Committee to evaluate the potential need to enhance the clinical research infrastructure required to test emerging therapies for the various ...,22,1
1469,HR7005,To amend the Internal Revenue Code of 1986 to provide alternative minimum tax relief for individuals for 2008.,Alternative Minimum Tax Relief Act of 2008,D,2008-09-23,,,14,5,9,0,Taxation,Alternative Minimum Tax Relief Act of 2008 - Amends the Internal Revenue Code to extend through 2008 for individual taxpayers: (1) the offset of nonrefundable personal tax credits against regular and alternative minimum tax (AMT) liability; and (2) the increased alternative minimum tax (AMT) exemption amounts.Increases the alternative minimum tax (AMT) refundable credit amount for individuals who have long-term unused minimum tax credits from prior taxable years. Abates any underpayment of ta...,15,2
