,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
1015,HR3678,To amend the Internet Tax Freedom Act to extend the moratorium on certain taxes relating to the Internet and to electronic commerce.,Internet Tax Freedom Act Amendments Act of 2007,D,2007-09-27,,,6,3,3,0,Taxation,"Internet Tax Freedom Act Amendments Act of 2007 - Amends the Internet Tax Freedom Act to extend until November 1 2014 the moratorium on state and local taxation of Internet access and electronic commerce (moratorium) and the exemption from such moratorium for states with previously enacted Internet tax laws (grandfathering provisions). Redefines effective November 1 2003 ""Internet access"" to prevent certain states from claiming an expanded exemption under the Internet Tax Nondiscriminati...",27,2
1016,HRES734,Expressing the sense of the House of Representatives regarding the withholding of information relating to corruption in Iraq.,,D,2007-10-12,,,12,0,12,0,Congress,"Expresses the sense of the House of Representatives that: (1) as Congress considers the President's request for over $150 billion more for the war in Iraq it is essential that Congress and the people of the United States know the extent of corruption in the Iraqi government and whether corruption is fueling the insurgency; (2) it was wrong to retroactively classify portions of the report titled ""Stabilizing and Rebuilding Iraq: U.S. Ministry Capacity Development Efforts Need an Overall Integr...",10,1
1017,HR2295,To amend the Public Health Service Act to provide for the establishment of an Amyotrophic Lateral Sclerosis Registry.,ALS Registry Act,D,2007-05-14,,,276,105,172,0,Health,ALS Registry Act - Amends the Public Health Service Act to require the Secretary of Health and Human Services acting through the Director of the Centers for Disease Control and Prevention (CDC) to: (1) develop a system to collect data on amyotrophic lateral sclerosis (ALS) and other motor neuron disorders that can be confused with ALS misdiagnosed as ALS or progress to ALS; and (2) establish a national registry for the collection and storage of such data. Requires the Secretary acting th...,19,1
1018,HCONRES182,Recognizing the need to pursue research into the causes a treatment and an eventual cure for idiopathic pulmonary fibrosis supporting the goals and ideals of National Idiopathic Pulmonary Fibrosis Awareness Week and for other purposes.,,R,2007-07-12,,,48,31,17,0,Commemorations,Recognizes the need to pursue research into the causes of and a treatment and an eventual cure for idiopathic pulmonary fibrosis. Expresses support for: (1) the work of advocates and organizations in educating supporting and providing hope for individuals who suffer from the disease; and (2) designation of National Idiopathic Pulmonary Fibrosis Awareness Week.Congratulates advocates and organizations for their efforts to educate the public about the disease.,11,1
1019,HR2102,To maintain the free flow of information to the public by providing conditions for the federally compelled disclosure of information by certain persons connected with the news media.,Free Flow of Information Act of 2007,D,2007-05-02,,,71,26,45,0,Law,Free Flow of Information Act of 2007 - (Sec. 2) Prohibits a federal entity (an entity or employee of the judicial or executive branch or an administrative agency of the federal government) in any matter arising under federal law from compelling a covered person to testify or produce any document unless a court makes specified determinations by a preponderance of the evidence including determinations: (1) relating to exhaustion of alternative sources (2) that the testimony or document soug...,21,2
1020,HRES746,Providing for consideration of the bill (H.R. 3773) to amend the Foreign Intelligence Surveillance Act of 1978 to establish a procedure for authorizing certain acquisitions of foreign intelligence and for other purposes.,,D,2007-10-16,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 3773 (Responsible Electronic Surveillance That is Overseen Reviewed and Effective Act of 2007 or RESTORE Act of 2007).,8,2
1021,HRES549,Recognizing the importance of America's Waterway Watch program and for other purposes.,,R,2007-07-16,,,23,19,4,0,Transportation and public works,Recognizes the importance of increasing maritime domain awareness. Encourages those who engage in recreational waterway activities to be aware and report suspicious activities to appropriate authorities. Supports the goals of the America's Waterway Watch program.,14,1
1022,HRES724,Providing for consideration of the bill (H.R. 2095) to amend title 49 United States Code to prevent railroad fatalities injuries and hazardous materials releases to authorize the Federal Railroad Safety Administration and for other purposes.,,D,2007-10-10,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 2095 (Federal Railroad Safety Improvement Act of 2007).,8,1
1023,HCONRES222,Commending NASA Langley Research Center in Virginia on the celebration of its 90th anniversary on October 26 and 27 2007.,,R,2007-10-02,,,10,7,3,0,Commemorations,Congratulates and commends the men and women of NASA Langley Research Center for their accomplishments and role in inspiring the American people.,11,1
1024,HR2095,To amend title 49 United States Code to prevent railroad fatalities injuries and hazardous materials releases to authorize the Federal Railroad Safety Administration and for other purposes.,Clean Railroads Act of 2008,D,2007-05-01,,,94,9,85,0,Transportation and public works,Division A: Rail Safety - Rail Safety Improvement Act of 2008 - (Sec. 3) Authorizes appropriations for FY2009-FY2013 for: (1) railroad safety; (2) the purchase of Gage Restraint Measurement System vehicles and track geometry vehicles or other comparable technology to assess track safety; and (3) construction of the Facility for Underground Rail Station and Tunnel at the Transportation Technology Center Inc. in Pueblo Colorado. Title I: Railroad Safety Improvements - (Sec. 101) Requires the...,53,4
1025,HR189,A bill to establish the Paterson Great Falls National Historical Park in the State of New Jersey and for other purposes.,Paterson Great Falls National Historical Park Act of 2008,D,2007-01-04,,,14,6,8,0,Public lands and natural resources,Paterson Great Falls National Historical Park Act of 2008 - Establishes the Paterson Great Falls National Historical Park in New Jersey as a unit of the National Park System. Sets forth conditions concerning the establishment of the Park.Specifies the boundaries of the Park. Sets forth provisions regarding the administration of the Park. Requires the Secretary of the Interior to complete a management plan for the Park. Establishes the Paterson Great Falls National Historical Park Advisory Com...,21,1
1026,HR523,To require the Secretary of the Interior to convey certain public land located wholly or partially within the boundaries of the Wells Hydroelectric Project of Public Utility District No. 1 of Douglas County Washington to the utility district.,Douglas County Washington PUD Conveyance Act,R,2007-01-17,,,0,0,0,0,Public lands and natural resources,Douglas County Washington PUD Conveyance Act - Directs the Secretary of the Interior if the Public Utility District No. 1 of Douglas County Washington (PUD) submits to the Secretary an offer to acquire certain public land managed by the Bureau of Land Management (BLM) for the appraised value to convey to the PUD all interest of the United States in and to the public land. Requires: (1) the PUD to pay to the Secretary an amount equal to the appraised value of the public land as determin...,20,1
1027,HRES762,Supporting the goals of National Bullying Prevention Awareness Week.,,D,2007-10-22,,,0,0,0,0,Commemorations,Recognizes that bullying of school-aged children is a national concern and unhealthy for our families and communities. Commends national and community organizations schools parents recreation programs and religious institutions for promoting greater public awareness about bullying and bullying prevention activities. Supports the goals of National Bullying Prevention Awareness Week.,9,1
